City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
309,shushtar,0,IR,1515959400,30,32.05,48.86,55.4,4.7
310,half moon bay,75,US,1515961680,87,37.46,-122.43,57.2,3.98
311,deer lake,90,CA,1515960000,79,49.18,-57.43,23.0,9.17
312,matveyev kurgan,80,RU,1515963770,65,47.57,38.86,15.64,20.2
313,gojra,0,PK,1515963586,82,31.15,72.69,47.14,2.75
314,grindavik,75,IS,1515961800,85,63.84,-22.43,24.8,32.21
315,chenghai,0,CN,1515960000,93,23.46,116.77,48.2,13.27
316,tezu,100,IN,1515963775,64,27.93,96.16,49.88,1.63
317,takoradi,8,GH,1515963776,96,4.89,-1.75,78.95,8.12
318,mbandaka,36,CD,1515963776,97,0.05,18.26,72.61,2.19
319,san clemente,40,US,1515959880,15,33.43,-117.61,82.4,3.42
320,narasannapeta,0,IN,1515963777,100,18.42,84.04,59.02,0.4
321,lata,0,IN,1515963778,82,30.78,78.62,19.73,0.51
322,noumea,0,NC,1515961800,58,-22.28,166.46,82.4,2.24
323,biloela,0,AU,1515963779,49,-24.4,150.51,65.86,12.03
324,jiayuguan,24,CN,1515963781,61,39.77,98.29,2.0,2.08
325,umea,90,SE,1515961200,96,63.83,20.26,32.0,19.46
326,sur,0,OM,1515963783,100,22.57,59.53,66.22,0.96
327,kenai,40,US,1515959760,82,60.55,-151.26,32.0,4.7
328,semypolky,0,UA,1515961800,92,50.72,30.95,17.6,6.71
329,russell,20,AR,1515960000,42,-33.01,-68.8,80.6,5.82
330,george,12,NG,1515960000,83,6.63,3.35,80.6,3.36
331,saint anthony,1,US,1515959580,80,43.97,-111.68,33.8,3.36
332,uray,92,RU,1515963787,86,60.13,64.8,14.02,9.01
333,coolum beach,0,AU,1515963787,85,-26.53,153.09,73.87,10.8
334,dakar,24,SN,1515960000,68,14.69,-17.45,71.6,11.41
335,itacoatiara,0,BR,1515963788,60,-3.14,-58.44,87.01,4.09
336,mahbubnagar,0,IN,1515963789,82,16.74,77.99,68.33,3.98
337,pointe michel,75,DM,1515960000,62,15.25,-61.38,84.2,5.82
338,jinxiang,0,CN,1515963791,63,35.07,116.31,24.23,7.0
339,salamiyah,48,SY,1515963792,90,35.01,37.05,38.81,6.11
340,guerrero negro,64,MX,1515963793,35,27.97,-114.04,77.38,3.53
341,zhangjiakou,48,CN,1515963793,64,40.77,114.88,1.1,2.53
342,walvis bay,0,NA,1515963794,100,-22.95,14.51,65.77,1.97
343,tual,80,ID,1515963795,100,-5.67,132.75,77.69,7.0
344,corner brook,90,CA,1515960000,79,48.95,-57.95,23.0,9.17
345,nelson bay,40,AU,1515960000,77,-32.72,152.14,60.8,11.41
346,marsa matruh,40,EG,1515960000,76,31.35,27.25,57.2,9.17
347,strezhevoy,0,RU,1515961800,83,60.73,77.6,-14.81,4.47
348,kudahuvadhoo,64,MV,1515963798,100,2.67,72.89,81.52,10.13
349,talnakh,0,RU,1515963798,89,69.49,88.39,-40.84,3.98
350,filingue,0,NE,1515963799,29,14.35,3.32,62.48,8.68
351,kihei,20,US,1515959760,73,20.76,-156.45,75.2,8.05
352,bathsheba,75,BB,1515960000,83,13.22,-59.52,80.6,12.75
353,portland,40,US,1515963180,58,45.52,-122.67,59.0,12.75
354,potiskum,0,NG,1515963801,34,11.71,11.08,64.42,9.46
355,lazarevac,75,RS,1515961800,86,44.38,20.26,28.4,13.87
356,tiznit,8,MA,1515963802,97,29.7,-9.73,55.46,11.48
357,klaksvik,88,FO,1515963000,69,62.23,-6.59,39.2,12.75
358,awjilah,0,LY,1515963803,74,29.14,21.3,52.63,8.23
359,kavaratti,0,IN,1515963804,100,10.57,72.64,82.42,5.44
360,dwarka,0,IN,1515961800,81,28.58,77.04,50.0,2.75
361,ugoofaaru,0,MV,1515963805,100,5.67,73.0,81.07,19.3
362,port-gentil,68,GA,1515963806,96,-0.72,8.78,80.03,7.45
363,polovinnoye,68,RU,1515963807,71,54.79,65.99,-1.83,7.56
364,altay,0,CN,1515963809,33,47.83,88.13,-26.85,2.53
365,uberlandia,12,BR,1515963810,75,-18.92,-48.28,79.76,3.09
366,constitucion,5,MX,1515959340,16,23.99,-104.67,66.2,4.7
367,nishihara,1,JP,1515963360,68,35.74,139.53,35.6,3.42
368,los llanos de aridane,75,ES,1515961800,59,28.66,-17.92,62.6,10.29
369,tarko-sale,24,RU,1515963813,38,64.92,77.78,-25.05,3.65
370,denia,24,ES,1515963544,100,38.84,0.11,52.76,13.04
371,albert lea,90,US,1515962100,78,43.65,-93.37,19.4,11.41
372,srikakulam,0,IN,1515963815,100,18.29,83.89,75.71,4.99
373,arona,75,IT,1515961200,100,45.76,8.56,39.2,1.12
374,marau,40,BR,1515960000,65,-28.45,-52.2,80.6,13.87
375,bubaque,0,GW,1515960000,33,11.28,-15.83,86.0,2.24
376,burns lake,32,CA,1515963616,80,54.23,-125.76,6.37,2.98
377,windhoek,36,NA,1515960000,38,-22.57,17.08,77.0,4.7
378,buchanan,20,LR,1515961800,83,5.88,-10.05,78.8,9.13
379,novobiryusinskiy,56,RU,1515963820,55,56.96,97.71,6.14,10.25
380,saint-pierre,0,FR,1515961800,93,48.95,4.24,37.4,6.93
381,channel-port aux basques,68,CA,1515963821,100,47.57,-59.14,27.83,20.65
382,kiruna,90,SE,1515961200,92,67.86,20.23,10.4,25.28
383,dolores,88,AR,1515963826,77,-36.31,-57.68,66.8,14.27
384,olinda,75,EC,1515960000,48,-2.03,-79.75,87.8,8.05
385,aguimes,20,ES,1515961800,67,27.91,-15.45,60.8,12.75
386,denpasar,20,ID,1515960000,94,-8.65,115.22,77.0,3.36
387,bud,0,NO,1515963000,40,62.91,6.91,39.2,9.17
388,sawakin,0,SD,1515960000,69,19.1,37.33,77.0,5.82
389,muli,0,IN,1515963830,66,22.62,71.45,66.08,5.44
390,margate,40,AU,1515960000,67,-43.03,147.26,60.8,9.17
391,maues,8,BR,1515963832,56,-3.38,-57.72,88.76,3.98
392,paraisopolis,40,BR,1515960000,51,-22.55,-45.78,86.0,4.7
393,yangjiang,0,CN,1515963834,100,21.85,111.96,58.88,12.15
394,edmundston,1,CA,1515959640,64,47.36,-68.33,5.0,9.17
395,aykhal,36,RU,1515963835,60,65.95,111.51,-34.9,2.75
396,college,1,US,1515959880,84,64.86,-147.8,32.0,8.23
397,vanimo,12,PG,1515963836,100,-2.67,141.3,82.24,4.99
398,lamu,92,ID,1515963837,100,0.57,122.3,71.39,1.07
399,cao bang,92,VN,1515963837,100,22.67,106.25,48.94,2.98
